frame,emotion,confidence
4698,neutral,0.6611438
4704,neutral,0.7867628
4710,neutral,0.76976144
4716,neutral,0.79974174
4722,neutral,0.72460705
4728,neutral,0.6150363
4734,neutral,0.28082258
4740,neutral,0.44404364
4746,neutral,0.40886587
4752,neutral,0.6383653
4758,neutral,0.47290403
4764,happy,0.8298935
4770,happy,0.81868243
4776,neutral,0.47519177
4782,neutral,0.47399354
4788,neutral,0.43602318
4794,happy,0.33031484
4800,neutral,0.44319233
4806,happy,0.3832611
4812,happy,0.31434453
4818,sad,0.4089524
4824,neutral,0.4699615
4830,neutral,0.6649586
4836,neutral,0.37792403
4842,neutral,0.4145518
4848,neutral,0.41885665
4854,happy,0.35175925
4860,neutral,0.31989524
4866,happy,0.2547167
4872,neutral,0.47979462
4878,neutral,0.39474538
4884,fear,0.34370542
4890,sad,0.34783465
4896,neutral,0.39253116
4902,neutral,0.5260903
4908,neutral,0.46891662
4914,neutral,0.31314456
4920,fear,0.61822647
4926,neutral,0.48262182
4932,neutral,0.6851572
4938,neutral,0.46221486
4944,neutral,0.45039985
4950,neutral,0.6109681
4956,happy,0.44186988
4962,happy,0.8620013
4968,happy,0.83938414
4974,neutral,0.68185186
4980,neutral,0.6833615
4986,neutral,0.4701176
4992,neutral,0.38997927
4998,neutral,0.4584958
5004,neutral,0.38885093
5010,neutral,0.47219414
5016,neutral,0.29402852
5022,neutral,0.37819803
5028,neutral,0.4980188
5034,neutral,0.5350062
5040,neutral,0.5619017
5046,neutral,0.555561
5052,neutral,0.3237881
5058,fear,0.37269843
5064,fear,0.2817702
5070,neutral,0.5749217
5076,neutral,0.56098926
5082,neutral,0.4394217
5088,neutral,0.4180898
5094,neutral,0.47987634
5100,neutral,0.37112784
5106,neutral,0.5782798
5112,neutral,0.49209127
5118,neutral,0.4043547
5124,neutral,0.5974377
5130,neutral,0.65622807
5136,neutral,0.41017905
5142,neutral,0.5330495
5148,neutral,0.6412412
5154,neutral,0.35999966
5160,neutral,0.75628245
5166,neutral,0.3435772
5172,neutral,0.24742979
5178,happy,0.26508906
5184,neutral,0.26157606
5190,fear,0.22325447
5196,happy,0.2611745
5202,neutral,0.38149452
5208,neutral,0.3976304
5214,neutral,0.5227466
5220,neutral,0.45872742
5226,neutral,0.33554906
5232,neutral,0.5754885
5238,happy,0.43428764
5244,happy,0.3565325
5250,neutral,0.5299894
5256,neutral,0.4297027
5262,neutral,0.48320794
5268,neutral,0.44579232
5274,happy,0.33738986
5280,happy,0.75548977
5286,happy,0.4810402
5292,happy,0.50186634
5298,fear,0.2860305
5304,neutral,0.4197818
5310,neutral,0.4820577
5316,neutral,0.30909842
5322,surprise,0.28134218
5328,neutral,0.27686203
5334,neutral,0.46199018
5340,neutral,0.25272432
5346,neutral,0.2738934
5352,neutral,0.27452838
5358,neutral,0.28273228
5364,happy,0.39992216
5370,neutral,0.39092976
5376,neutral,0.2965352
5382,happy,0.26000226
5388,neutral,0.3666446
5394,neutral,0.29613325
5400,neutral,0.3845249
5406,happy,0.27964574
5412,happy,0.259539
5418,neutral,0.2865983
5424,neutral,0.21999721
5430,neutral,0.43594387
5436,neutral,0.40202805
5442,neutral,0.4405582
5448,neutral,0.4165603
5454,neutral,0.3794085
5460,fear,0.40795404
5466,neutral,0.29496214
5472,neutral,0.33657557
5478,neutral,0.4440979
5484,neutral,0.54600453
5490,neutral,0.3068493
5496,neutral,0.3520925
